city,state,costOfLivingIdx,rentIdx,costOfLivingPlusRentIdx,groceriesIdx,restaurantIdx,localPurchasingPowerIdx
New York, NY,100.00,100.00,100.00,100.00,100.00,100.00
Honolulu, HI,95.62,64.74,80.83,101.22,82.49,75.87
San Francisco, CA,94.16,108.24,100.90,94.09,92.17,127.78
Anchorage, AK,91.42,37.15,65.43,93.88,74.47,107.26
Oakland, CA,88.82,83.06,86.06,93.55,74.01,91.94
Seattle, WA,88.35,68.36,78.78,83.55,86.50,123.15
Boston, MA,88.09,76.13,82.36,87.99,90.04,99.60
Queens, NY,87.17,74.74,81.22,77.63,86.52,111.70
Washington, DC,83.65,75.74,79.87,80.44,80.89,112.08
Jersey City, NJ,82.62,61.90,72.70,83.80,69.26,114.59
Bend, OR,82.08,40.41,62.12,88.78,71.65,83.31
Minneapolis, MN,81.73,43.40,63.38,80.02,78.10,111.45
Los Angeles, CA,81.30,72.92,77.29,78.08,88.49,95.69
Fremont, CA,81.07,73.09,77.25,78.98,83.55,121.08
Fort Lauderdale, FL,80.81,55.13,68.51,89.31,76.06,97.22
Milwaukee, WI,80.27,35.61,58.88,86.48,66.13,77.08
Chicago, IL,80.08,56.80,68.93,74.96,75.80,108.73
San Diego, CA,79.57,67.23,73.66,79.01,78.27,113.49
Charleston, SC,79.56,49.55,65.19,80.82,74.08,96.97
Salem, OR,78.98,33.66,57.28,85.31,60.93,83.87
Saint Paul, MN,78.93,42.03,61.26,78.12,73.42,99.62
Tampa, FL,78.77,41.84,61.09,84.05,69.21,103.76
Irvine, CA,78.53,69.01,73.97,71.34,79.00,126.27
Pittsburgh, PA,78.43,37.06,58.62,80.64,62.77,100.41
San Jose, CA,77.88,81.86,79.79,73.88,78.18,134.87
Portland, OR,77.85,47.64,63.39,75.89,70.83,100.15
Philadelphia, PA,77.84,46.99,63.07,77.70,68.09,85.13
Miami, FL,77.76,59.82,69.17,74.42,73.48,78.72
Sacramento, CA,76.47,46.81,62.26,74.41,67.77,101.26
Everett, WA,76.40,44.31,61.03,74.44,83.62,96.52
Atlanta, GA,76.15,48.80,63.06,77.02,63.98,121.52
Bellingham, WA,75.66,41.17,59.14,76.80,63.22,82.61
Birmingham, AL,75.56,28.20,52.88,75.70,68.02,83.39
Cleveland, OH,74.96,38.48,57.49,76.44,67.90,78.92
New Orleans, LA,74.65,40.94,58.51,68.81,75.79,83.59
Ann Arbor, MI,73.61,48.73,61.70,74.70,62.77,112.98
Denver, CO,73.28,52.93,63.54,65.81,75.28,117.57
Colorado Springs, CO,73.27,35.98,55.41,73.56,68.00,102.50
Buffalo, NY,72.95,27.28,51.08,71.87,63.88,94.15
Spokane, WA,72.88,29.28,52.00,69.56,71.75,88.63
Long Beach, CA,72.80,55.40,64.47,76.61,67.27,105.81
Baltimore, MD,72.56,43.53,58.66,69.68,71.84,103.74
Columbus, OH,72.50,32.57,53.38,71.15,68.11,123.12
Charlotte, NC,72.02,45.48,59.31,66.65,70.43,119.55
Albany, NY,71.88,34.16,53.82,65.96,78.85,108.15
Olympia, WA,71.69,39.94,56.49,69.97,68.37,112.56
Nashville, TN,71.30,46.27,59.32,65.64,74.13,112.47
Mobile, AL,71.15,25.44,49.26,72.68,63.87,92.39
Rochester, NY,70.81,28.97,50.78,67.12,69.61,99.65
Riverside, CA,70.81,44.47,58.20,66.94,69.37,95.17
Raleigh, NC,70.57,36.99,54.49,73.34,69.88,123.90
Omaha, NE,70.38,29.78,50.94,68.83,61.05,106.48
Vancouver, WA,69.56,39.75,55.29,66.75,65.58,113.68
Detroit, MI,69.29,41.22,55.85,66.43,65.62,73.88
Jacksonville, FL,68.87,33.77,52.06,73.26,65.13,111.37
Orlando, FL,68.80,40.15,55.08,65.16,69.76,93.00
Las Vegas, NV,68.34,36.56,53.12,59.46,74.34,107.52
Kansas City, MO,68.22,30.44,50.13,62.92,67.42,113.17
Madison, WI,68.13,37.13,53.29,66.50,64.81,112.40
Richmond, VA,67.72,36.05,52.56,64.05,71.62,105.85
Fort Worth, TX,67.67,34.19,51.64,60.89,67.53,117.78
Saint Louis, MO,67.64,32.26,50.70,67.52,59.92,119.80
Fresno, CA,67.31,32.51,50.65,62.74,62.97,106.88
Des Moines, IA,67.05,29.71,49.17,67.76,59.59,108.84
Lincoln, NE,66.93,26.60,47.62,66.88,65.55,104.43
Reno, NV,66.82,40.15,54.05,66.45,66.40,115.71
Eugene, OR,66.75,33.60,50.87,72.59,55.14,92.22
Tucson, AZ,66.59,26.20,47.25,61.82,62.75,94.55
Louisville, KY,66.50,33.13,50.52,62.59,75.05,113.72
Knoxville, TN,66.08,33.20,50.34,70.66,59.34,97.63
Phoenix, AZ,66.07,38.14,52.70,59.89,65.03,117.52
Baton Rouge, LA,65.63,31.91,49.48,62.12,68.99,86.19
Indianapolis, IN,65.06,30.30,48.41,62.82,61.37,119.72
Houston, TX,65.04,41.11,53.58,60.72,66.58,135.45
Akron, OH,65.02,20.68,43.79,69.59,47.83,99.84
Albuquerque, NM,64.92,26.83,46.68,65.16,64.62,103.66
Huntsville, AL,64.52,29.60,47.80,65.50,57.50,113.05
Dallas, TX,64.28,47.23,56.11,57.02,64.89,145.75
Oklahoma City, OK,64.06,31.38,48.41,65.74,53.72,109.66
San Antonio, TX,64.05,37.26,51.22,57.89,69.26,103.98
Chattanooga, TN,63.51,35.04,49.88,63.41,54.75,92.38
Salt Lake City, UT,63.32,37.39,50.90,59.11,60.94,125.57
Cincinnati, OH,63.21,35.74,50.06,60.72,58.53,110.61
Boise, ID,62.76,36.06,49.97,56.95,66.25,96.60
Tulsa, OK,62.57,27.80,45.92,62.74,55.45,111.11
Austin, TX,62.36,49.71,56.30,60.47,64.83,128.93
Little Rock, AR,62.35,25.46,44.69,58.58,67.51,121.71
Memphis, TN,62.19,29.02,46.30,54.41,66.21,97.29
Wichita, KS,60.51,23.55,42.81,55.08,58.48,104.82
Lexington, KY,59.73,26.56,43.85,60.26,54.33,121.11
El Paso, TX,55.15,22.24,39.39,55.31,42.73,117.31
